 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
89,V1.F5 Select:2.00 s,790,749.381,1012.491,749.381,1012.491,37.997,26.472,26.320
90,V1.F5 Select:2.00 s,35,1276.814,1021.243,1276.814,1021.243,7.525,5.922,3.555
91,V1.F5 Select:2.07 s,5780,868.781,27.093,868.781,27.093,131.345,56.031,7.564
92,V1.F5 Select:2.07 s,5322,1104.483,27.796,1104.483,27.796,133.218,50.866,162.110
93,V1.F5 Select:2.07 s,111,1219.149,78.365,1219.149,78.365,18.211,7.761,164.825
94,V1.F5 Select:2.07 s,55,437.845,101.136,437.845,101.136,9.040,7.747,137.153
95,V1.F5 Select:2.07 s,25016,1215.999,294.425,1215.999,294.425,212.398,149.961,67.702
96,V1.F5 Select:2.07 s,873,1264.645,585.949,1264.645,585.949,35.882,30.977,42.335
97,V1.F5 Select:2.07 s,4284,950.249,664.856,950.249,664.856,104.009,52.443,66.037
98,V1.F5 Select:2.07 s,566,713.959,636.802,713.959,636.802,34.053,21.162,24.491
99,V1.F5 Select:2.07 s,105,54.833,794.710,54.833,794.710,17.648,7.575,13.943
100,V1.F5 Select:2.07 s,28791,509.579,961.436,509.579,961.436,281.406,130.267,13.928
101,V1.F5 Select:2.07 s,4007,708.481,990.288,708.481,990.288,85.912,59.385,64.323
102,V1.F5 Select:2.07 s,39,3.115,983.141,3.115,983.141,8.886,5.588,143.799
103,V1.F5 Select:2.07 s,25,61.780,982.420,61.780,982.420,5.852,5.440,124.266
104,V1.F5 Select:2.07 s,234,946.346,995.090,946.346,995.090,21.412,13.914,7.517
105,V1.F5 Select:2.07 s,2876,1163.445,1013.554,1163.445,1013.554,137.783,26.577,0.961
106,V1.F5 Select:2.07 s,110,2.909,1009.991,2.909,1009.991,23.057,6.074,84.734
107,V1.F5 Select:2.13 s,5306,788.377,23.343,788.377,23.343,125.771,53.715,178.914
108,V1.F5 Select:2.13 s,2486,956.441,24.957,956.441,24.957,73.349,43.154,156.919
109,V1.F5 Select:2.13 s,93,1200.823,87.672,1200.823,87.672,16.676,7.101,47.394
110,V1.F5 Select:2.13 s,50,437.840,101.220,437.840,101.220,8.751,7.275,135.432
111,V1.F5 Select:2.13 s,20,72.700,104.000,72.700,104.000,8.065,3.157,2.139
112,V1.F5 Select:2.13 s,83225,1086.274,284.097,1086.274,284.097,438.166,241.839,4.668
113,V1.F5 Select:2.13 s,1032,1242.060,595.576,1242.060,595.576,48.716,26.972,171.942
114,V1.F5 Select:2.13 s,523,693.557,658.165,693.557,658.165,39.180,16.996,18.193
115,V1.F5 Select:2.13 s,4728,900.956,702.740,900.956,702.740,104.598,57.552,138.638
116,V1.F5 Select:2.13 s,46,51.543,793.391,51.543,793.391,8.079,7.249,170.337
117,V1.F5 Select:2.13 s,25092,432.515,974.309,432.515,974.309,292.810,109.109,11.817
118,V1.F5 Select:2.13 s,28,61.679,982.143,61.679,982.143,6.515,5.472,115.409
119,V1.F5 Select:2.13 s,3486,1076.043,1007.583,1076.043,1007.583,115.268,38.506,174.884
120,V1.F5 Select:2.13 s,148,926.709,997.122,926.709,997.122,17.196,10.958,38.750
121,V1.F5 Select:2.20 s,59,926.924,1.720,926.924,1.720,18.000,4.173,178.253
