 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
170,D:slice:100,353,730.636,165.574,730.636,165.574,23.841,18.852,177.434
171,D:slice:101,1781,103.307,85.146,103.307,85.146,78.431,28.913,14.423
172,D:slice:101,627,696.498,101.510,696.498,101.510,31.818,25.090,173.844
173,D:slice:101,1912,590.059,151.305,590.059,151.305,55.493,43.869,33.262
174,D:slice:101,373,735.798,166.747,735.798,166.747,26.252,18.091,162.033
175,D:slice:102,1889,106.943,86.135,106.943,86.135,79.616,30.210,158.791
176,D:slice:102,618,702.848,103.434,702.848,103.434,39.214,20.066,171.520
177,D:slice:102,1875,601.483,156.206,601.483,156.206,78.227,30.518,177.958
178,D:slice:102,373,742.790,168.082,742.790,168.082,27.882,17.033,171.552
179,D:slice:103,1818,120.444,84.342,120.444,84.342,54.881,42.178,64.566
180,D:slice:103,646,708.845,103.271,708.845,103.271,34.219,24.037,9.445
181,D:slice:103,1957,610.765,154.162,610.765,154.162,61.940,40.228,149.762
182,D:slice:103,369,749.064,169.234,749.064,169.234,27.238,17.249,2.528
183,D:slice:104,1838,128.537,89.224,128.537,89.224,83.781,27.932,3.946
184,D:slice:104,642,715.776,104.081,715.776,104.081,36.129,22.625,159.554
185,D:slice:104,1857,622.892,157.569,622.892,157.569,67.049,35.264,14.803
186,D:slice:104,377,755.065,169.901,755.065,169.901,24.199,19.836,179.040
187,D:slice:105,1863,132.275,87.649,132.275,87.649,73.096,32.451,148.773
188,D:slice:105,631,723.963,105.451,723.963,105.451,37.289,21.546,5.185
189,D:slice:105,1899,628.875,158.752,628.875,158.752,74.015,32.667,163.426
190,D:slice:105,374,761.909,170.765,761.909,170.765,25.919,18.372,162.920
191,D:slice:106,1808,144.980,86.205,144.980,86.205,60.540,38.025,40.901
192,D:slice:106,619,730.190,106.653,730.190,106.653,33.518,23.514,161.807
193,D:slice:106,1952,639.889,155.952,639.889,155.952,49.877,49.830,173.504
194,D:slice:106,372,767.384,173.124,767.384,173.124,27.939,16.953,170.501
